Force,Distance,Time,Event,
N,mm,min,,
Sample 1,,,,
-0.6356,-0.0800,0.00000,0,
-0.6356,-0.0800,0.00017,0,
-0.6356,-0.0800,0.00033,0,
-0.6356,-0.0800,0.00050,0,
-0.6356,-0.0800,0.00067,0,
-0.6356,-0.0800,0.00083,0,
-0.6356,-0.0800,0.00100,0,
-0.6356,-0.0800,0.00117,0,
-0.6356,-0.0800,0.00133,0,
-0.6356,-0.0775,0.00150,0,
-0.6356,-0.0775,0.00167,0,
-0.6356,-0.0750,0.00183,0,
-0.6356,-0.0750,0.00200,0,
-0.6356,-0.0750,0.00217,0,
-0.6356,-0.0750,0.00233,0,
-0.6356,-0.0750,0.00250,0,
-0.6356,-0.0750,0.00267,0,
-0.6356,-0.0750,0.00283,0,
-0.6356,-0.0750,0.00300,0,
-0.6356,-0.0750,0.00317,0,
-0.6356,-0.0750,0.00333,0,
-0.6356,-0.0750,0.00350,0,
-0.6356,-0.0750,0.00367,0,
-0.6356,-0.0750,0.00383,0,
-0.6356,-0.0750,0.00400,0,
-0.6356,-0.0750,0.00417,0,
-0.6356,-0.0750,0.00433,0,
-0.6356,-0.0750,0.00450,0,
-0.6356,-0.0750,0.00467,0,
-0.6356,-0.0750,0.00483,0,
-0.6356,-0.0750,0.00500,0,
-0.6356,-0.0750,0.00517,0,
-0.6356,-0.0750,0.00533,0,
-0.6356,-0.0750,0.00550,0,
-0.6356,-0.0750,0.00567,0,
-0.6356,-0.0750,0.00583,0,
-0.6356,-0.0750,0.00600,0,
-0.6356,-0.0750,0.00617,0,
-0.6356,-0.0750,0.00633,0,
-0.6356,-0.0750,0.00650,0,
-0.6356,-0.0750,0.00667,0,
-0.6356,-0.0750,0.00683,0,
-0.6356,-0.0725,0.00700,0,
-0.6356,-0.0725,0.00717,0,
-0.6356,-0.0725,0.00733,0,
-0.6356,-0.0725,0.00750,0,
-0.6356,-0.0725,0.00767,0,
-0.6356,-0.0725,0.00783,0,
-0.6356,-0.0725,0.00800,0,
-0.6356,-0.0700,0.00817,0,
-0.6356,-0.0700,0.00833,0,
-0.6356,-0.0700,0.00850,0,
-0.6356,-0.0700,0.00867,0,
-0.6356,-0.0700,0.00883,0,
-0.6356,-0.0700,0.00900,0,
-0.6356,-0.0700,0.00917,0,
-0.6356,-0.0700,0.00933,0,
-0.6356,-0.0700,0.00950,0,
-0.6356,-0.0700,0.00967,0,
-0.6356,-0.0700,0.00983,0,
-0.6356,-0.0700,0.01000,0,
-0.6356,-0.0700,0.01017,0,
-0.6356,-0.0700,0.01033,0,
-0.6356,-0.0700,0.01050,0,
-0.6356,-0.0700,0.01067,0,
-0.6356,-0.0700,0.01083,0,
-0.6356,-0.0700,0.01100,0,
-0.6356,-0.0700,0.01117,0,
-0.6356,-0.0700,0.01133,0,
-0.6356,-0.0700,0.01150,0,
-0.6356,-0.0700,0.01167,0,
-0.6356,-0.0700,0.01183,0,
-0.6356,-0.0700,0.01200,0,
-0.6356,-0.0700,0.01217,0,
-0.6356,-0.0700,0.01233,0,
-0.6356,-0.0675,0.01250,0,
-0.6356,-0.0675,0.01267,0,
-0.6356,-0.0675,0.01283,0,
-0.6356,-0.0675,0.01300,0,
-0.6356,-0.0675,0.01317,0,
-0.6356,-0.0675,0.01333,0,
-0.6356,-0.0675,0.01350,0,
-0.6356,-0.0675,0.01367,0,
-0.6356,-0.0675,0.01383,0,
-0.6356,-0.0675,0.01400,0,
-0.6356,-0.0675,0.01417,0,
-0.6356,-0.0650,0.01433,0,
-0.6356,-0.0650,0.01450,0,
-0.6356,-0.0625,0.01467,0,
-0.6356,-0.0625,0.01483,0,
-0.6356,-0.0625,0.01500,0,
-0.6356,-0.0625,0.01517,0,
-0.6356,-0.0625,0.01533,0,
-0.6356,-0.0625,0.01550,0,
-0.6356,-0.0625,0.01567,0,
-0.6356,-0.0625,0.01583,0,
-0.6356,-0.0625,0.01600,0,
-0.6356,-0.0625,0.01617,0,
-0.6356,-0.0625,0.01633,0,
-0.6356,-0.0625,0.01650,0,
-0.6356,-0.0625,0.01667,0,
-0.6356,-0.0625,0.01683,0,
-0.6356,-0.0625,0.01700,0,
-0.6356,-0.0625,0.01717,0,
-0.6356,-0.0625,0.01733,0,
-0.6356,-0.0625,0.01750,0,
-0.6356,-0.0625,0.01767,0,
-0.6356,-0.0625,0.01783,0,
-0.6356,-0.0625,0.01800,0,
-0.6356,-0.0625,0.01817,0,
-0.6356,-0.0625,0.01833,0,
-0.6356,-0.0625,0.01850,0,
-0.6356,-0.0625,0.01867,0,
-0.6356,-0.0625,0.01883,0,
-0.6356,-0.0625,0.01900,0,
-0.6356,-0.0625,0.01917,0,
-0.6356,-0.0625,0.01933,0,
-0.6356,-0.0625,0.01950,0,
-0.6356,-0.0625,0.01967,0,
-0.6356,-0.0625,0.01983,0,
-0.6356,-0.0600,0.02000,0,
-0.6356,-0.0600,0.02017,0,
-0.6356,-0.0600,0.02033,0,
-0.6356,-0.0600,0.02050,0,
-0.6356,-0.0600,0.02067,0,
-0.6356,-0.0600,0.02083,0,
-0.6356,-0.0600,0.02100,0,
-0.6356,-0.0600,0.02117,0,
-0.6356,-0.0600,0.02133,0,
-0.6356,-0.0600,0.02150,0,
-0.6356,-0.0600,0.02167,0,
-0.6356,-0.0600,0.02183,0,
-0.6356,-0.0575,0.02200,0,
-0.6356,-0.0575,0.02217,0,
-0.6356,-0.0575,0.02233,0,
-0.6356,-0.0575,0.02250,0,
-0.6356,-0.0550,0.02267,0,
-0.6356,-0.0550,0.02283,0,
-0.6356,-0.0550,0.02300,0,
-0.6356,-0.0550,0.02317,0,
-0.6356,-0.0550,0.02333,0,
-0.6356,-0.0550,0.02350,0,
-0.6356,-0.0550,0.02367,0,
-0.6356,-0.0550,0.02383,0,
-0.6356,-0.0550,0.02400,0,
-0.6356,-0.0550,0.02417,0,
-0.6356,-0.0550,0.02433,0,
-0.6356,-0.0550,0.02450,0,
-0.6356,-0.0550,0.02467,0,
-0.6356,-0.0550,0.02483,0,
-0.6356,-0.0550,0.02500,0,
-0.6356,-0.0550,0.02517,0,
-0.6356,-0.0550,0.02533,0,
-0.6356,-0.0550,0.02550,0,
-0.7945,-0.0550,0.02567,0,
-0.6356,-0.0550,0.02583,0,
-0.6356,-0.0550,0.02600,0,
-0.6356,-0.0550,0.02617,0,
-0.6356,-0.0550,0.02633,0,
-0.6356,-0.0550,0.02650,0,
-0.6356,-0.0550,0.02667,0,
-0.6356,-0.0550,0.02683,0,
-0.6356,-0.0550,0.02700,0,
-0.6356,-0.0550,0.02717,0,
-0.6356,-0.0550,0.02733,0,
-0.6356,-0.0525,0.02750,0,
-0.6356,-0.0525,0.02767,0,
-0.6356,-0.0525,0.02783,0,
-0.6356,-0.0525,0.02800,0,
-0.6356,-0.0525,0.02817,0,
-0.6356,-0.0525,0.02833,0,
-0.6356,-0.0525,0.02850,0,
-0.6356,-0.0525,0.02867,0,
-0.6356,-0.0500,0.02883,0,
-0.6356,-0.0500,0.02900,0,
-0.6356,-0.0500,0.02917,0,
-0.6356,-0.0500,0.02933,0,
-0.6356,-0.0500,0.02950,0,
-0.6356,-0.0500,0.02967,0,
-0.6356,-0.0500,0.02983,0,
-0.6356,-0.0500,0.03000,0,
-0.6356,-0.0500,0.03017,0,
-0.6356,-0.0500,0.03033,0,
-0.6356,-0.0500,0.03050,0,
-0.6356,-0.0500,0.03067,0,
-0.6356,-0.0500,0.03083,0,
-0.6356,-0.0500,0.03100,0,
-0.6356,-0.0475,0.03117,0,
-0.6356,-0.0475,0.03133,0,
-0.6356,-0.0475,0.03150,0,
-0.6356,-0.0475,0.03167,0,
-0.6356,-0.0475,0.03183,0,
-0.6356,-0.0475,0.03200,0,
-0.6356,-0.0475,0.03217,0,
-0.6356,-0.0475,0.03233,0,
-0.6356,-0.0475,0.03250,0,
-0.6356,-0.0475,0.03267,0,
-0.6356,-0.0475,0.03283,0,
-0.6356,-0.0475,0.03300,0,
-0.6356,-0.0475,0.03317,0,
-0.6356,-0.0475,0.03333,0,
-0.6356,-0.0475,0.03350,0,
-0.6356,-0.0475,0.03367,0,
-0.6356,-0.0475,0.03383,0,
-0.6356,-0.0475,0.03400,0,
-0.6356,-0.0475,0.03417,0,
-0.6356,-0.0475,0.03433,0,
-0.6356,-0.0475,0.03450,0,
-0.6356,-0.0475,0.03467,0,
-0.6356,-0.0475,0.03483,0,
-0.6356,-0.0475,0.03500,0,
-0.6356,-0.0475,0.03517,0,
-0.6356,-0.0450,0.03533,0,
-0.6356,-0.0450,0.03550,0,
-0.6356,-0.0450,0.03567,0,
-0.6356,-0.0450,0.03583,0,
-0.6356,-0.0450,0.03600,0,
-0.6356,-0.0450,0.03617,0,
-0.7945,-0.0450,0.03633,0,
-0.7945,-0.0450,0.03650,0,
-0.6356,-0.0450,0.03667,0,
-0.6356,-0.0450,0.03683,0,
-0.6356,-0.0450,0.03700,0,
-0.6356,-0.0450,0.03717,0,
-0.6356,-0.0450,0.03733,0,
-0.6356,-0.0450,0.03750,0,
-0.6356,-0.0450,0.03767,0,
-0.6356,-0.0425,0.03783,0,
-0.6356,-0.0425,0.03800,0,
-0.6356,-0.0425,0.03817,0,
-0.6356,-0.0425,0.03833,0,
-0.6356,-0.0425,0.03850,0,
-0.6356,-0.0425,0.03867,0,
-0.6356,-0.0400,0.03883,0,
-0.6356,-0.0400,0.03900,0,
-0.6356,-0.0400,0.03917,0,
-0.6356,-0.0400,0.03933,0,
-0.6356,-0.0400,0.03950,0,
-0.6356,-0.0400,0.03967,0,
-0.6356,-0.0400,0.03983,0,
-0.6356,-0.0400,0.04000,0,
-0.6356,-0.0400,0.04017,0,
-0.6356,-0.0400,0.04033,0,
-0.6356,-0.0400,0.04050,0,
-0.6356,-0.0400,0.04067,0,
-0.6356,-0.0400,0.04083,0,
-0.6356,-0.0400,0.04100,0,
-0.6356,-0.0400,0.04117,0,
-0.6356,-0.0400,0.04133,0,
-0.6356,-0.0400,0.04150,0,
-0.6356,-0.0400,0.04167,0,
-0.6356,-0.0400,0.04183,0,
-0.6356,-0.0400,0.04200,0,
-0.6356,-0.0400,0.04217,0,
-0.6356,-0.0375,0.04233,0,
-0.6356,-0.0375,0.04250,0,
-0.6356,-0.0375,0.04267,0,
-0.6356,-0.0375,0.04283,0,
-0.6356,-0.0375,0.04300,0,
-0.6356,-0.0375,0.04317,0,
-0.6356,-0.0375,0.04333,0,
-0.6356,-0.0375,0.04350,0,
-0.6356,-0.0375,0.04367,0,
-0.6356,-0.0375,0.04383,0,
-0.6356,-0.0375,0.04400,0,
-0.6356,-0.0375,0.04417,0,
-0.6356,-0.0375,0.04433,0,
-0.6356,-0.0375,0.04450,0,
-0.6356,-0.0375,0.04467,0,
-0.6356,-0.0375,0.04483,0,
-0.6356,-0.0375,0.04500,0,
-0.6356,-0.0375,0.04517,0,
-0.6356,-0.0375,0.04533,0,
-0.6356,-0.0350,0.04550,0,
-0.6356,-0.0350,0.04567,0,
-0.6356,-0.0325,0.04583,0,
-0.6356,-0.0325,0.04600,0,
-0.6356,-0.0325,0.04617,0,
-0.6356,-0.0325,0.04633,0,
-0.6356,-0.0325,0.04650,0,
-0.6356,-0.0325,0.04667,0,
-0.6356,-0.0325,0.04683,0,
-0.7945,-0.0325,0.04700,0,
-0.6356,-0.0325,0.04717,0,
-0.6356,-0.0325,0.04733,0,
-0.6356,-0.0325,0.04750,0,
-0.6356,-0.0325,0.04767,0,
-0.6356,-0.0325,0.04783,0,
-0.6356,-0.0325,0.04800,0,
-0.6356,-0.0325,0.04817,0,
-0.6356,-0.0325,0.04833,0,
-0.6356,-0.0325,0.04850,0,
-0.6356,-0.0325,0.04867,0,
-0.6356,-0.0325,0.04883,0,
-0.6356,-0.0325,0.04900,0,
-0.6356,-0.0325,0.04917,0,
-0.6356,-0.0325,0.04933,0,
-0.6356,-0.0325,0.04950,0,
-0.6356,-0.0325,0.04967,0,
-0.6356,-0.0325,0.04983,0,
-0.6356,-0.0325,0.05000,0,
-0.6356,-0.0300,0.05017,0,
-0.6356,-0.0300,0.05033,0,
-0.6356,-0.0300,0.05050,0,
-0.6356,-0.0300,0.05067,0,
-0.6356,-0.0300,0.05083,0,
-0.6356,-0.0300,0.05100,0,
